id,priority,page,slot,ref_file,ref_line,ref_type,current_path,target_path,width,height,formats,prompt,status,gen_size,updated_at,notes
P0-01,P0,all pages,og-image,index.html,0,meta,images/og-image.jpg,images/og-image.jpg,1200,630,jpg,"An editorial photograph of a formation of 12 small quadrotor drones flying in loose V-formation at golden hour against a clear sky. Warm amber and gold tones on the drone frames, teal-blue sky background, shallow depth of field on the lead drone, photojournalistic real photography look with fine film grain, gentle lens flare. No text, no overlays, no holographic elements. Horizontal composition with negative space above and below the formation.",done,1200x624,2026-06-14T07:20Z,verified 1200x630
P0-02,P0,all pages,twitter-image,index.html,0,meta,images/twitter-image.jpg,images/twitter-image.jpg,1200,675,jpg,"An editorial photograph of a formation of 12 small quadrotor drones flying in loose V-formation at golden hour against a clear sky. Warm amber and gold tones on the drone frames, teal-blue sky background, shallow depth of field on the lead drone, photojournalistic real photography look with fine film grain, gentle lens flare. More sky visible above the formation compared to a wider crop. No text, no overlays.",done,1200x672,2026-06-14T07:20Z,verified 1200x675
P0-03,P0,contact.html,half-panel-bg,contact.html,254,data-bgimage,images/misc/s7.webp,images/sections/contact-panel.webp,1000,1000,webp,"A desk-side editorial photograph of a single satellite-communication terminal on a compact rack in a dimly-lit operations room. Warm amber light from a single desk lamp illuminates the coaxial connectors and status indicators. A notepad and pen rest on the surface beside the terminal. Shallow depth of field, background dark teal, foreground glowing warm gold. Real photojournalistic photograph, fine film grain, no HUD overlays, no glowing elements, no faces visible. Square composition.",done,2000x2000,2026-06-14T12:49:20.699696,idempotent skip — files already existed at correct dimensions
P0-04,P0,solutions/ai-platforms.html,half-panel-bg,solutions/ai-platforms.html,243,data-bgimage,images/misc/s7.webp,images/sections/sol-ai-platforms-panel.webp,1000,1000,webp,"An editorial photograph of an analyst workstation with a single large monitor displaying a plain-text data dashboard with numerical status values and rows of data. Amber desk lamp reflects softly in the screen bezel. Teal shadows surround the monitor in a darkened room. Real photojournalistic style, fine film grain, no faces visible, no glowing brain imagery. Decision-support context. Square composition.",done,2000x2000,2026-06-14T07:30Z,verified 1000x1000
P0-05,P0,solutions/jadc2.html,half-panel-bg,solutions/jadc2.html,243,data-bgimage,images/misc/s7.webp,images/sections/sol-jadc2-panel.webp,1000,1000,webp,"An editorial photograph of a large printed military operations map spread across a planning table. Colored unit overlays and tactical symbols in land, sea, and air colors are visible on the map surface. A single amber lamp above casts shadows across the map. Colored pins mark positions. Real photojournalistic style, fine film grain, no digital overlays, no floating HUD elements, no faces. Square composition.",done,2000x2000,2026-06-14T07:30Z,verified 1000x1000
P0-06,P0,solutions/zero-trust.html,half-panel-bg,solutions/zero-trust.html,243,data-bgimage,images/misc/s7.webp,images/sections/sol-zero-trust-panel.webp,1000,1000,webp,"An editorial photograph of a secure server room door with a heavy steel frame, a brushed-metal cipher-lock keypad, and a small red access-control indicator light. Amber emergency corridor lighting casts a warm glow on the door surface. Teal shadow fills the adjacent wall. Real photojournalistic style, fine film grain, no facial recognition graphics, no floating padlock icons. Square composition.",done,2000x2000,2026-06-14T07:35Z,verified 1000x1000
P0-07,P0,industries/defense.html,half-panel-bg,industries/defense.html,243,data-bgimage,images/misc/s7.webp,images/sections/ind-defense-panel.webp,1000,1000,webp,"An editorial photograph of a signals intelligence antenna array — several directional Yagi antennas mounted on a steel mast, photographed from below against an amber morning sky. Warm first-light illuminates the aluminum antenna elements. Teal shadows define the structure of the mast. Real photojournalistic photograph, fine film grain, no HUD overlays. Square composition.",done,2000x2000,pre-existing,verified 1000x1000
P0-08,P0,industries/federal.html,half-panel-bg,industries/federal.html,243,data-bgimage,images/misc/s7.webp,images/sections/ind-federal-panel.webp,1000,1000,webp,"An editorial photograph of a government data center showing a contrast between legacy and modern equipment — older beige 1U servers stacked in a rack with printed label tape, and a single modern 2U server installed at the bottom. Amber overhead fluorescent lighting. Teal shadow in the background beyond the rack. Real photojournalistic style, fine film grain, no people visible. Square composition.",done,2000x2000,2026-06-14T07:40Z,verified 1000x1000
P0-09,P0,industries/intelligence.html,half-panel-bg,industries/intelligence.html,243,data-bgimage,images/misc/s7.webp,images/sections/ind-intelligence-panel.webp,1000,1000,webp,"An editorial photograph of a wide-format signals analysis printout lying on a flat surface — waveform graphs and spectrum charts printed on paper, a red marker pen beside the printout. Amber desk light from the side illuminates the printed data which is visible but not readable in specific detail. Real photojournalistic photograph, fine film grain. No digital screens, no HUD. Square composition.",done,2000x2000,2026-06-14T07:45Z,verified 1000x1000
P0-10,P0,industries/research.html,half-panel-bg,industries/research.html,243,data-bgimage,images/misc/s7.webp,images/sections/ind-research-panel.webp,1000,1000,webp,"An editorial photograph of a condensed-matter physics experiment on a research bench — vacuum chamber hardware, thin-film deposition equipment, and a quartz crystal microbalance sensor connected by lab cables. First-light amber from a nearby window illuminates the equipment. Teal indicator lights glow on instrument panels. Real photojournalistic style, fine film grain, no faces. Square composition.",done,2000x2000,2026-06-14T07:50Z,verified 1000x1000
